compact_idx,raw_id,base_raw_id,hemi,name,name_pretty
703,2243,243,R,R-cpd,R-WHITE_MATTER
704,2245,245,R,R-crt,R-WHITE_MATTER
705,2247,247,R,R-csc,R-WHITE_MATTER
706,2250,250,R,R-cst,R-WHITE_MATTER
707,2257,257,R,R-CTXsp,R-ISOCORTEX_MASK
708,2258,258,R,R-CU,R-MEDULLA
709,2262,262,R,"R-CUL4,_5",R-CEREBELLUM
710,2273,273,R,R-CUN,R-MEDULLA
711,2281,281,R,R-DCO,R-MEDULLA
712,2282,282,R,R-DEC,R-WHITE_MATTER
713,2300,300,R,R-DG-mo,R-HIPPOCAMPAL FORMATION
714,2301,301,R,R-DG-po,R-HIPPOCAMPAL FORMATION
715,2302,302,R,R-DG-sg,R-HIPPOCAMPAL FORMATION
716,2304,304,R,R-dhc,R-WHITE_MATTER
717,2307,307,R,R-DMH,R-HYPOTHALAMUS
718,2311,311,R,R-DMX,R-MEDULLA
719,2312,312,R,R-DN,R-CEREBELLUM
720,2315,315,R,R-DP,R-CORTEX_PREFRONTAL
721,2321,321,R,R-DR,R-MIDBRAIN
722,2323,323,R,R-dscp,R-WHITE_MATTER
723,2326,326,R,R-DTN,R-MIDBRAIN
724,2328,328,R,R-ec,R-WHITE_MATTER
725,2331,331,R,R-ECT1,R-CORTEX_TEMPORAL_ASSOC
726,2332,332,R,R-ECT2-3,R-CORTEX_TEMPORAL_ASSOC
727,2333,333,R,R-ECT5,R-CORTEX_TEMPORAL_ASSOC
728,2334,334,R,R-ECT6a,R-CORTEX_TEMPORAL_ASSOC
729,2335,335,R,R-ECT6b,R-CORTEX_TEMPORAL_ASSOC
730,2337,337,R,R-ee,R-WHITE_MATTER
731,2339,339,R,R-em,R-WHITE_MATTER
732,2342,342,R,R-ENTl1,R-PARAHIPPOCAMPAL/ENTORHINAL
733,2343,343,R,R-ENTl2,R-PARAHIPPOCAMPAL/ENTORHINAL
734,2347,347,R,R-ENTl3,R-PARAHIPPOCAMPAL/ENTORHINAL
735,2349,349,R,R-ENTl4-5,R-PARAHIPPOCAMPAL/ENTORHINAL
736,2352,352,R,R-ENTl6a,R-PARAHIPPOCAMPAL/ENTORHINAL
737,2355,355,R,R-ENTm1,R-PARAHIPPOCAMPAL/ENTORHINAL
738,2356,356,R,R-ENTm2,R-PARAHIPPOCAMPAL/ENTORHINAL
739,2359,359,R,R-ENTm3,R-PARAHIPPOCAMPAL/ENTORHINAL
740,2361,361,R,R-ENTm5,R-PARAHIPPOCAMPAL/ENTORHINAL
741,2363,363,R,R-ENTm6,R-PARAHIPPOCAMPAL/ENTORHINAL
742,2371,371,R,R-EPd,R-EPITHALAMUS/HABENULA
743,2375,375,R,R-EPv,R-EPITHALAMUS/HABENULA
744,2377,377,R,R-EW,R-MIDBRAIN
745,2378,378,R,R-fa,R-WHITE_MATTER
746,2380,380,R,R-FF,R-WHITE_MATTER
747,2381,381,R,R-fi,R-WHITE_MATTER
748,2382,382,R,R-fiber_tracts,R-WHITE_MATTER
749,2383,383,R,R-FL,R-WHITE_MATTER
750,2387,387,R,R-FN,R-CEREBELLUM
751,2388,388,R,R-FOTU,R-CEREBELLUM
752,2392,392,R,R-fp,R-WHITE_MATTER
753,2394,394,R,R-fr,R-WHITE_MATTER
754,2398,398,R,R-FS,R-WHITE_MATTER
755,2399,399,R,R-fx,R-WHITE_MATTER
756,2405,405,R,R-GPe,R-BASALGANGLIA_PALLIDUM
757,2406,406,R,R-GPi,R-BASALGANGLIA_PALLIDUM
758,2410,410,R,R-GRN,R-PONS
759,2415,415,R,R-GU1,R-CORTEX_GUSTATORY
760,2416,416,R,R-GU2-3,R-CORTEX_GUSTATORY
761,2417,417,R,R-GU4,R-CORTEX_GUSTATORY
762,2418,418,R,R-GU5,R-CORTEX_GUSTATORY
763,2419,419,R,R-GU6a,R-CORTEX_GUSTATORY
764,2420,420,R,R-GU6b,R-CORTEX_GUSTATORY
765,2423,423,R,R-hbc,R-EPITHALAMUS/HABENULA
766,2429,429,R,R-HPF,R-HIPPOCAMPAL FORMATION
767,2430,430,R,R-HY,R-HYPOTHALAMUS
768,2431,431,R,R-IA,R-THALAMUS
769,2432,432,R,R-IAD,R-THALAMUS
770,2434,434,R,R-IAM,R-THALAMUS
771,2438,438,R,R-ICB,R-MIDBRAIN
772,2439,439,R,R-ICc,R-MIDBRAIN
773,2440,440,R,R-ICd,R-MIDBRAIN
774,2441,441,R,R-ICe,R-MIDBRAIN
775,2443,443,R,R-icp,R-WHITE_MATTER
776,2444,444,R,R-IF,R-MIDBRAIN
777,2445,445,R,R-IG,R-THALAMUS
778,2446,446,R,R-IGL,R-THALAMUS
779,2447,447,R,R-III,R-CRANIAL_NERVES
780,2448,448,R,R-IIIn,R-CRANIAL_NERVES
781,2449,449,R,R-IIn,R-CRANIAL_NERVES
782,2451,451,R,R-ILA1,R-CORTEX_PREFRONTAL
783,2453,453,R,R-ILA2-3,R-CORTEX_PREFRONTAL
784,2454,454,R,R-ILA5,R-CORTEX_PREFRONTAL
785,2455,455,R,R-ILA6a,R-CORTEX_PREFRONTAL
786,2459,459,R,R-IMD,R-THALAMUS
787,2461,461,R,R-INC,R-MIDBRAIN
788,2462,462,R,R-int,R-CEREBELLUM
789,2463,463,R,R-INV,R-MEDULLA
790,2465,465,R,R-IP,R-CEREBELLUM
791,2469,469,R,R-IRN,R-MEDULLA
792,2474,474,R,R-IV,R-VENTRICLES_CSF
793,2481,481,R,R-KF,R-PONS
